ticker,change
CTR,6.802244039270676
HTN,6.766917293233092
HT1,6.25
HVN,5.882352941176478
DBT,5.263157894736835
VTB,4.6728971962616725
PNC,4.545454545454547
L10,4.239401496259347
VTP,4.076738609112709
SGT,3.9285714285714306
