2024-06-14,15000,15500,15000,15000,600,FDC
2024-06-14,7930,7970,7380,7380,947300,FIR
2024-06-14,4720,4870,4710,4720,2015800,FIT
2024-06-14,52000,52500,50700,51900,63800,FMC
2024-06-14,130100,132600,129000,131000,6406200,FPT
2024-06-14,176400,176500,173700,174000,793700,FRT
2024-06-14,47600,48000,44500,45000,3796600,FTS
2024-06-14,80200,80600,79000,79000,2277200,GAS
2024-06-14,29700,29800,29100,29200,122300,GDT
2024-06-14,14050,14200,13750,13750,1645200,GEG
2024-06-14,23750,24800,23650,23700,35934600,GEX
2024-06-14,37200,37200,35000,35000,1242200,GIL
2024-06-14,8800,9100,8800,8900,3700,GMC
2024-06-14,84800,85800,83000,83000,2064400,GMD
2024-06-14,9000,9000,8860,9000,4300,GMH
2024-06-14,14550,14900,13900,13900,597100,GSP
2024-06-14,12400,12400,11900,11900,13900,GTA
2024-06-14,35400,35700,33000,33000,5510300,GVR
2024-06-14,13900,14000,13300,13300,33576600,HAG
2024-06-14,49000,51600,48000,48000,8807300,HAH
2024-06-14,4770,4770,4690,4690,72700,HAP
2024-06-14,4340,4400,4320,4320,181800,HAR
2024-06-14,9900,9900,9900,9900,100,HAS
2024-06-14,15550,15600,15150,15150,1058000,HAX
2024-06-14,7850,7910,7790,7790,794200,HBC
2024-06-14,10400,10700,10350,10650,1500800,HCD
2024-06-14,29800,30650,28900,28900,14972300,HCM
2024-06-14,24200,24250,23950,23950,7372600,HDB
2024-06-14,31900,31950,30500,30500,3239100,HDC
2024-06-14,34750,34750,32450,32450,19196200,HDG
2024-06-14,9320,9350,9260,9260,248300,HHP
2024-06-14,10550,10750,10450,10450,4100500,HHS
2024-06-14,13300,13500,13150,13150,5149800,HHV
2024-06-14,3220,3250,3160,3160,182800,HID
2024-06-14,6220,6290,6040,6040,268900,HII
2024-06-14,12300,12500,12000,12450,9700,HMC
2024-06-14,25000,25000,24800,25000,1900,HNA
2024-06-14,4960,5030,4750,4820,7036500,HNG
2024-06-14,29500,29950,29100,29100,34292400,HPG
2024-06-14,6520,6610,6500,6500,2487900,HPX
2024-06-14,4160,4160,4050,4070,5806100,HQC
2024-06-14,44500,47100,44500,44550,300,HRC
