time,open,high,low,close,volume,ticker
2024-01-02,1138.01,1139.71,1128.69,1131.72,842255467,VNINDEX
2024-01-03,1131.97,1144.17,1128.32,1144.17,719932658,VNINDEX
2024-01-04,1145.49,1160.08,1144.32,1150.72,1181354559,VNINDEX
2024-01-05,1152.37,1155.84,1149.08,1154.68,803268328,VNINDEX
2024-01-08,1159.42,1162.56,1155.48,1160.19,905408420,VNINDEX
2024-01-09,1161.71,1162.83,1155.46,1158.59,870509266,VNINDEX
2024-01-10,1158.79,1166.1,1155.94,1161.54,992761212,VNINDEX
2024-01-11,1162.49,1169.1,1157.43,1162.22,860493292,VNINDEX
2024-01-12,1159.25,1161.91,1146.75,1154.7,1086669255,VNINDEX
2024-01-15,1159.37,1163.75,1154.12,1154.12,617145386,VNINDEX
2024-01-16,1150.31,1163.12,1147.71,1163.12,611399775,VNINDEX
2024-01-17,1161.95,1168.46,1160.45,1162.53,769803132,VNINDEX
2024-01-18,1164.32,1169.73,1162.62,1169.06,596224450,VNINDEX
2024-01-19,1171.5,1181.5,1171.47,1181.5,662887992,VNINDEX
2024-01-22,1186.29,1186.96,1175.54,1182.86,889669900,VNINDEX
2024-01-23,1183.96,1184.74,1173.78,1177.5,683712214,VNINDEX
2024-01-24,1175.58,1180.3,1172.0,1172.97,733190188,VNINDEX
2024-01-25,1173.58,1173.83,1168.5,1170.37,540538159,VNINDEX
2024-01-26,1173.43,1176.76,1173.43,1175.67,575224219,VNINDEX
2024-01-29,1177.23,1180.46,1174.88,1175.69,666529537,VNINDEX
2024-01-30,1176.02,1179.92,1174.13,1179.65,620146298,VNINDEX
2024-01-31,1181.62,1182.53,1163.13,1164.31,1120899587,VNINDEX
2024-02-01,1162.78,1174.5,1162.45,1173.02,670246274,VNINDEX
2024-02-02,1173.93,1178.27,1169.7,1172.55,914673342,VNINDEX
2024-02-05,1174.22,1188.45,1173.54,1186.06,874803630,VNINDEX
2024-02-06,1189.08,1190.92,1185.68,1188.48,619772100,VNINDEX
2024-02-07,1190.51,1199.52,1190.5,1198.53,685659517,VNINDEX
2024-02-15,1203.08,1207.56,1198.81,1202.5,868724308,VNINDEX
2024-02-16,1204.9,1210.25,1204.29,1209.7,822636730,VNINDEX
2024-02-19,1213.24,1225.48,1212.58,1224.97,1046431380,VNINDEX
2024-02-20,1227.75,1230.47,1222.66,1230.06,939927595,VNINDEX
2024-02-21,1231.78,1234.22,1222.92,1230.04,988846280,VNINDEX
2024-02-22,1229.85,1232.09,1226.15,1227.31,840410190,VNINDEX
2024-02-23,1230.3,1240.81,1211.55,1212.0,1394045720,VNINDEX
2024-02-26,1212.93,1225.21,1210.52,1224.17,889748773,VNINDEX
2024-02-27,1228.93,1237.6,1226.49,1237.46,986854411,VNINDEX
2024-02-28,1241.77,1254.55,1236.32,1254.55,970755990,VNINDEX
2024-02-29,1259.59,1264.39,1247.7,1252.73,1091193600,VNINDEX
2024-03-01,1256.72,1258.76,1247.87,1258.28,961928011,VNINDEX
2024-03-04,1264.07,1268.25,1256.54,1261.41,1183086384,VNINDEX
2024-03-05,1262.89,1269.98,1257.81,1269.98,1011196107,VNINDEX
2024-03-06,1269.8,1277.51,1256.3,1262.73,1062933517,VNINDEX
2024-03-07,1263.23,1269.88,1260.24,1268.46,1017267325,VNINDEX
2024-03-08,1272.62,1274.3,1247.35,1247.35,1346110974,VNINDEX
2024-03-11,1248.32,1254.01,1233.49,1235.49,975985066,VNINDEX
2024-03-12,1235.4,1248.33,1233.14,1245.0,836219861,VNINDEX
2024-03-13,1250.2,1270.51,1247.64,1270.51,982228387,VNINDEX
2024-03-14,1276.0,1276.41,1258.67,1264.26,1057178320,VNINDEX
