ticker,volume_according_to_price
HPG,997908840000
SSI,965234580000
GEX,851650020000
FPT,839212200000
MSN,704191800000
VPB,672388420000
HDG,622916690000
MBB,589609020000
VIX,587168400000
MWG,511547400000
